low, high , selection0_bin0_pdf, selection0_bin0_cdf, selection0_bin1_pdf, selection0_bin1_cdf, selection0_bin2_pdf, selection0_bin2_cdf, selection0_bin3_pdf, selection0_bin3_cdf, selection0_bin4_pdf, selection0_bin4_cdf, selection0_bin5_pdf, selection0_bin5_cdf, selection1_bin0_pdf, selection1_bin0_cdf, selection1_bin1_pdf, selection1_bin1_cdf, selection1_bin2_pdf, selection1_bin2_cdf, selection1_bin3_pdf, selection1_bin3_cdf, selection1_bin4_pdf, selection1_bin4_cdf, selection1_bin5_pdf, selection1_bin5_cdf
0.022000,0.024000,4.152369,0.831339,2.752698,0.891654,3.019538,0.906217,0.677507,0.912376,0.349650,0.943357,1.133787,0.960317,4.262038,0.796617,3.196664,0.857540,3.539040,0.878567,1.472754,0.892784,1.854427,0.905888,2.710027,0.899729
0.024000,0.026000,5.003028,0.841345,2.202158,0.896058,2.841918,0.911901,0.225836,0.912827,2.097902,0.947552,0.000000,0.960317,4.343843,0.805304,3.613621,0.864767,4.202610,0.886972,1.914580,0.896613,1.854427,0.909597,5.420054,0.910569
0.026000,0.028000,4.296548,0.849938,3.083021,0.902224,4.440497,0.920782,1.580849,0.915989,0.699301,0.948951,0.000000,0.960317,4.270218,0.813845,2.988186,0.870744,2.211900,0.891396,3.092784,0.902798,2.549838,0.914696,4.065041,0.918699
0.028000,0.030000,4.109115,0.858156,4.404316,0.911033,3.019538,0.926821,1.355014,0.918699,2.097902,0.953147,1.133787,0.962585,3.959359,0.821763,3.613621,0.877971,2.875470,0.897147,1.620029,0.906038,1.390821,0.917478,4.065041,0.926829
0.030000,0.032000,4.556071,0.867268,3.413345,0.917860,1.776199,0.930373,1.806685,0.922313,1.398601,0.955944,0.000000,0.962585,4.335662,0.830435,3.822099,0.885615,3.428445,0.904004,4.123711,0.914286,1.854427,0.921187,4.516712,0.935863
0.032000,0.034000,3.878428,0.875025,3.193129,0.924246,2.486679,0.935346,3.839205,0.929991,1.748252,0.959441,0.566893,0.963719,4.270218,0.838975,3.405142,0.892425,3.428445,0.910860,3.092784,0.920471,1.622624,0.924432,1.355014,0.938573
0.034000,0.036000,4.166787,0.883359,3.523453,0.931293,2.664298,0.940675,3.161698,0.936314,0.349650,0.960140,0.566893,0.964853,4.466550,0.847908,3.544128,0.899514,2.543685,0.915948,1.030928,0.922533,3.013445,0.930459,1.806685,0.942186
0.036000,0.038000,4.354220,0.892067,3.743669,0.938780,2.309059,0.945293,1.806685,0.939928,0.699301,0.961538,1.133787,0.967120,4.262038,0.856432,2.640723,0.904795,1.769520,0.919487,1.325479,0.925184,0.927214,0.932313,0.903342,0.943993
0.038000,0.040000,4.037025,0.900141,2.752698,0.944285,0.888099,0.947069,1.129178,0.942186,0.699301,0.962937,1.133787,0.969388,3.640320,0.863713,2.918694,0.910632,2.875470,0.925238,2.061856,0.929308,2.781641,0.937877,0.000000,0.943993
0.040000,0.042000,3.474725,0.907091,1.321295,0.946928,2.486679,0.952043,1.129178,0.944444,0.699301,0.964336,1.700680,0.972789,3.926637,0.871566,2.362752,0.915358,2.101305,0.929440,1.178203,0.931664,2.086231,0.942049,0.903342,0.945799
0.042000,0.044000,3.705412,0.914502,2.202158,0.951332,0.888099,0.953819,2.484192,0.949413,1.048951,0.966434,1.133787,0.975057,3.812110,0.879190,2.223767,0.919805,2.875470,0.935191,2.503682,0.936672,2.318034,0.946685,1.806685,0.949413
0.044000,0.046000,3.474725,0.921451,2.532482,0.956397,1.420959,0.956661,3.613369,0.956640,2.797203,0.972028,3.401361,0.981859,4.090247,0.887371,2.084781,0.923975,1.880115,0.938952,1.030928,0.938733,0.463607,0.947612,0.451671,0.950316
0.046000,0.048000,3.171948,0.927795,1.871834,0.960141,0.888099,0.958437,3.161698,0.962963,0.699301,0.973427,1.133787,0.984127,3.321281,0.894014,2.918694,0.929812,1.105950,0.941163,1.178203,0.941090,2.086231,0.951785,1.355014,0.953026
0.048000,0.050000,3.272874,0.934341,1.871834,0.963885,0.888099,0.960213,4.742547,0.972448,1.048951,0.975524,0.000000,0.984127,3.370364,0.900754,3.266157,0.936345,1.548330,0.944260,1.914580,0.944919,1.622624,0.955030,1.806685,0.956640
0.050000,0.052000,2.739410,0.939819,2.422374,0.968729,3.197158,0.966607,1.806685,0.976061,1.748252,0.979021,0.000000,0.984127,3.010422,0.906775,2.640723,0.941626,1.658925,0.947578,1.914580,0.948748,2.086231,0.959203,0.451671,0.957543
