Axis,Line Label,X,Y,Marker,Marker Size,Marker Face Color,Marker Edge Color
Axes 1,$69.3 < \lambda \leq 140$,-437.3718957915832,2.386467011959691e-08,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-433.7671823647295,4.7872491937606565e-08,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-430.1624689378758,9.349242259447914e-08,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-426.5577555110221,1.7775699347011207e-07,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-422.9530420841684,3.2903118846363947e-07,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-419.3483286573147,5.929359659343698e-07,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-415.74361523046093,1.0402537273158994e-06,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-412.13890180360727,1.7767736954219186e-06,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-408.53418837675355,2.9545216333771815e-06,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-404.9294749498998,4.783059108080356e-06,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-401.32476152304616,7.538583493404953e-06,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-397.7200480961924,1.1567566648496291e-05,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-394.1153346693387,1.728091472971624e-05,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-390.510621242485,2.5134492417701358e-05,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-386.9059078156313,3.5592739106943374e-05,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-383.3011943887776,4.9074320221126435e-05,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-379.6964809619239,6.588235060506818e-05,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-376.0917675350702,8.612633630901504e-05,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-372.4870541082165,0.00010964776511271837,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-368.88234068136273,0.00013596498934849275,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-365.27762725450907,0.00016425428422144078,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-361.67291382765535,0.00019338156365799526,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-358.06820040080163,0.00022199270375600582,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-354.46348697394797,0.00024866029294859897,None,6.0,#FFA600,#FFA600
