Axis,Line Label,X,Y,Marker,Marker Size,Marker Face Color,Marker Edge Color
Axes 1,$69.3 < \lambda \leq 140$,-599.5840000000001,2.3137064133340517e-302,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-595.9792865731464,8.153362931675124e-298,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-592.3745731462926,2.651061594427049e-293,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-588.769859719439,7.953483442483574e-289,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-585.1651462925852,2.201656003688995e-284,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-581.5604328657315,5.6233623122497545e-280,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-577.9557194388778,1.3252480914516511e-275,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-574.3510060120241,2.881726952550666e-271,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-570.7462925851704,5.781798990035126e-267,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-567.1415791583167,1.0703545729346321e-262,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-563.536865731463,1.828297512081046e-258,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-559.9321523046093,2.881513026025547e-254,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-556.3274388777555,4.1903357828031063e-250,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-552.7227254509019,5.622527436753675e-246,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-549.1180120240482,6.96095555262718e-242,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-545.5132985971944,7.951712281208374e-238,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-541.9085851703408,8.381214848973957e-234,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-538.303871743487,8.150942125454569e-230,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-534.6991583166333,7.314138245422162e-226,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-531.0944448897797,6.055821136399767e-222,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-527.4897314629259,4.626338793690423e-218,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-523.8850180360722,3.2610416624669065e-214,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-520.2803046092185,2.1209468258147954e-210,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-516.6755911823648,1.272792868048335e-206,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-513.0708777555111,7.04758309697541e-203,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-509.4661643286574,3.600619232555066e-199,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-505.86145090180366,1.6973394607530755e-195,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-502.25673747494994,7.382691802057432e-192,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-498.6520240480962,2.962888367573128e-188,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-495.04731062124256,1.0971609923810035e-184,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-491.44259719438884,3.7486936270797897e-181,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-487.8378837675351,1.1818001933530513e-177,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-484.2331703406814,3.4376581341421922e-174,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-480.6284569138277,9.22647550425703e-171,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-477.023743486974,2.2848805494125428e-167,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-473.4190300601203,5.2209037625349704e-164,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-469.81431663326657,1.1007340340515468e-160,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-466.2096032064129,2.1412807930681386e-157,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-462.60488977955913,3.8434334707703784e-154,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-459.00017635270547,6.365311097656137e-151,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-455.39546292585175,9.726899313743516e-148,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-451.790749498998,1.3714618350443296e-144,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-448.18603607214436,1.7842165066659652e-141,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-444.5813226452906,2.141735816607055e-138,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-440.9766092184369,2.372131532204362e-135,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-437.3718957915832,2.4241872021814305e-132,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-433.7671823647295,2.285851760780191e-129,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-430.1624689378758,1.988769689151841e-126,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-426.5577555110221,1.596523969983865e-123,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-422.9530420841684,1.1825538227800361e-120,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-419.3483286573147,8.082038440231324e-118,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-415.74361523046093,5.096539917763743e-115,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-412.13890180360727,2.965408118350626e-112,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-408.53418837675355,1.592018238749545e-109,None,6.0,#FFA600,#FFA600
