bin, idx1, idx2, x, y
5,1,0, 5250.224740925112,9482.098343611733
5,1,0, 5249.211818816804,9482.216149316093
5,1,0, 5244.588484320086,9482.98335341431
5,1,0, 5238.952227715059,9484.48928805136
5,1,0, 5237.93465297231,9484.840000813285
5,1,0, 5233.315971110031,9486.786006545595
5,1,0, 5231.481943723296,9487.463852310477
5,1,0, 5227.679714505004,9488.82006901554
5,1,0, 5223.517138783725,9490.087703807669
5,1,0, 5222.0434578999775,9490.45965044282
5,1,0, 5216.40720129495,9492.18715254526
5,1,0, 5214.746036590096,9492.711555304862
5,1,0, 5210.7709446899225,9494.030883805883
5,1,0, 5207.634119339853,9495.335406802056
5,1,0, 5205.134688084896,9496.45708734615
5,1,0, 5202.604879018315,9497.959258299248
5,1,0, 5199.4984314798685,9499.780572265177
5,1,0, 5198.288407564718,9500.58310979644
5,1,0, 5193.945297378391,9503.206961293636
5,1,0, 5193.862174874841,9503.251076681365
5,1,0, 5189.070926601067,9505.830812790826
5,1,0, 5188.225918269814,9506.243752944158
5,1,0, 5183.149301222305,9508.45466428802
5,1,0, 5182.589661664788,9508.706671678963
5,1,0, 5177.3308537152325,9511.078515785213
5,1,0, 5176.9534050597595,9511.273992737128
5,1,0, 5172.546132618314,9513.702367282403
5,1,0, 5171.317148454733,9514.569724995818
5,1,0, 5168.97617974947,9516.326218779597
5,1,0, 5165.680891849706,9518.693669938919
5,1,0, 5165.328104358004,9518.95007027679
5,1,0, 5161.344959093988,9521.573921773983
5,1,0, 5160.044635244679,9522.360052565455
5,1,0, 5156.826238682553,9524.197773271175
5,1,0, 5154.408378639651,9525.462303791495
5,1,0, 5151.542274293684,9526.821624768367
5,1,0, 5148.772122034625,9528.136653455342
5,1,0, 5145.684665976391,9529.44547626556
5,1,0, 5143.135865429598,9530.565286144594
5,1,0, 5139.611787153163,9532.069327762754
5,1,0, 5137.49960882457,9532.923583774918
5,1,0, 5133.551548005416,9534.693179259946
5,1,0, 5131.863352219543,9535.40024693661
5,1,0, 5127.867449750438,9537.317030757138
5,1,0, 5126.227095614517,9538.045085951644
5,1,0, 5122.617352790832,9539.94088225433
5,1,0, 5120.590839009489,9540.928793702673
5,1,0, 5117.5674935639245,9542.564733751524
5,1,0, 5114.954582404462,9543.95408069093
5,1,0, 5112.576239909212,9545.188585248718
5,1,0, 5109.318325799435,9546.879053332394
5,1,0, 5107.327573275509,9547.81243674591
5,1,0, 5103.682069194408,9549.424074047418
5,1,0, 5101.1367471259055,9550.436288243101
5,1,0, 5098.04581258938,9551.560570994201
5,1,0, 5093.796740738586,9553.060139740295
5,1,0, 5092.409555984354,9553.586986107963
5,1,0, 5087.627410769463,9555.683991237487
5,1,0, 5086.773299379327,9556.135368460633
5,1,0, 5083.439633406594,9558.30784273468
5,1,0, 5081.137042774299,9560.50653477337
5,1,0, 5080.731264270994,9560.931694231873
5,1,0, 5079.049833526683,9563.555545729065
5,1,0, 5078.3132357773675,9566.179397226259
5,1,0, 5077.99771608661,9568.80324872345
5,1,0, 5078.059014459018,9571.427100220644
5,1,0, 5078.214790937109,9574.050951717836
5,1,0, 5078.377663490108,9576.674803215028
5,1,0, 5078.15445125647,9579.298654712222
5,1,0, 5077.213311522108,9581.922506209416
5,1,0, 5075.868707288021,9584.546357706608
5,1,0, 5075.500786169272,9585.119714468909
5,1,0, 5073.960115907393,9587.1702092038
5,1,0, 5071.069203880229,9589.794060700991
5,1,0, 5069.8645295642455,9590.841258159997
5,1,0, 5067.773993207912,9592.417912198185
5,1,0, 5064.466170807022,9595.041763695379
5,1,0, 5064.228272959218,9595.319012532284
5,1,0, 5062.569251914571,9597.66561519257
5,1,0, 5061.313362182318,9600.289466689763
5,1,0, 5060.418571484311,9602.913318186957
5,1,0, 5060.149905822108,9605.537169684148
5,1,0, 5060.409192352927,9608.161021181342
5,1,0, 5061.510629697853,9610.784872678534
5,1,0, 5062.669046413524,9613.408724175726
5,1,0, 5063.984235010628,9616.03257567292
5,1,0, 5064.228272959218,9616.5458213226
5,1,0, 5065.0781261455695,9618.656427170112
5,1,0, 5065.948414897848,9621.280278667306
5,1,0, 5066.542845604177,9623.904130164497
5,1,0, 5066.900608753299,9626.52798166169
5,1,0, 5067.193584337994,9629.151833158883
5,1,0, 5067.81330359526,9631.775684656077
5,1,0, 5068.567907440676,9634.399536153269
5,1,0, 5069.720300046453,9637.02338765046
5,1,0, 5069.8645295642455,9637.29414438824
5,1,0, 5071.151234090943,9639.647239147653
5,1,0, 5073.019271328019,9642.271090644846
5,1,0, 5074.740673548758,9644.89494214204
5,1,0, 5075.500786169272,9646.52177473825
5,1,0, 5075.977734923686,9647.518793639232
5,1,0, 5076.994015871929,9650.142645136424
5,1,0, 5077.707201199321,9652.766496633618
5,1,0, 5078.255368988937,9655.39034813081
5,1,0, 5079.102097697175,9658.014199628004
